,product,price,quantity,date,region,sales
0,pink morsel,3.0,546,2018-02-06,north,1638.0
1,pink morsel,3.0,549,2018-02-06,south,1647.0
2,pink morsel,3.0,577,2018-02-06,east,1731.0
3,pink morsel,3.0,519,2018-02-06,west,1557.0
28,pink morsel,3.0,529,2018-02-07,north,1587.0
29,pink morsel,3.0,566,2018-02-07,south,1698.0
30,pink morsel,3.0,514,2018-02-07,east,1542.0
31,pink morsel,3.0,545,2018-02-07,west,1635.0
56,pink morsel,3.0,534,2018-02-08,north,1602.0
57,pink morsel,3.0,512,2018-02-08,south,1536.0
58,pink morsel,3.0,501,2018-02-08,east,1503.0
59,pink morsel,3.0,567,2018-02-08,west,1701.0
84,pink morsel,3.0,586,2018-02-09,north,1758.0
85,pink morsel,3.0,554,2018-02-09,south,1662.0
86,pink morsel,3.0,594,2018-02-09,east,1782.0
87,pink morsel,3.0,505,2018-02-09,west,1515.0
112,pink morsel,3.0,554,2018-02-10,north,1662.0
113,pink morsel,3.0,519,2018-02-10,south,1557.0
114,pink morsel,3.0,550,2018-02-10,east,1650.0
115,pink morsel,3.0,558,2018-02-10,west,1674.0
140,pink morsel,3.0,518,2018-02-11,north,1554.0
141,pink morsel,3.0,529,2018-02-11,south,1587.0
142,pink morsel,3.0,521,2018-02-11,east,1563.0
143,pink morsel,3.0,588,2018-02-11,west,1764.0
168,pink morsel,3.0,586,2018-02-12,north,1758.0
169,pink morsel,3.0,536,2018-02-12,south,1608.0
170,pink morsel,3.0,523,2018-02-12,east,1569.0
171,pink morsel,3.0,551,2018-02-12,west,1653.0
196,pink morsel,3.0,524,2018-02-13,north,1572.0
197,pink morsel,3.0,572,2018-02-13,south,1716.0
198,pink morsel,3.0,591,2018-02-13,east,1773.0
199,pink morsel,3.0,575,2018-02-13,west,1725.0
224,pink morsel,3.0,589,2018-02-14,north,1767.0
225,pink morsel,3.0,570,2018-02-14,south,1710.0
226,pink morsel,3.0,566,2018-02-14,east,1698.0
227,pink morsel,3.0,504,2018-02-14,west,1512.0
252,pink morsel,3.0,582,2018-02-15,north,1746.0
253,pink morsel,3.0,578,2018-02-15,south,1734.0
254,pink morsel,3.0,508,2018-02-15,east,1524.0
255,pink morsel,3.0,538,2018-02-15,west,1614.0
280,pink morsel,3.0,526,2018-02-16,north,1578.0
281,pink morsel,3.0,594,2018-02-16,south,1782.0
282,pink morsel,3.0,509,2018-02-16,east,1527.0
283,pink morsel,3.0,584,2018-02-16,west,1752.0
308,pink morsel,3.0,595,2018-02-17,north,1785.0
309,pink morsel,3.0,563,2018-02-17,south,1689.0
310,pink morsel,3.0,547,2018-02-17,east,1641.0
311,pink morsel,3.0,525,2018-02-17,west,1575.0
336,pink morsel,3.0,548,2018-02-18,north,1644.0
337,pink morsel,3.0,558,2018-02-18,south,1674.0
338,pink morsel,3.0,517,2018-02-18,east,1551.0
339,pink morsel,3.0,579,2018-02-18,west,1737.0
364,pink morsel,3.0,521,2018-02-19,north,1563.0
365,pink morsel,3.0,549,2018-02-19,south,1647.0
366,pink morsel,3.0,535,2018-02-19,east,1605.0
367,pink morsel,3.0,513,2018-02-19,west,1539.0
392,pink morsel,3.0,566,2018-02-20,north,1698.0
393,pink morsel,3.0,525,2018-02-20,south,1575.0
394,pink morsel,3.0,500,2018-02-20,east,1500.0
395,pink morsel,3.0,517,2018-02-20,west,1551.0
420,pink morsel,3.0,579,2018-02-21,north,1737.0
421,pink morsel,3.0,514,2018-02-21,south,1542.0
422,pink morsel,3.0,555,2018-02-21,east,1665.0
423,pink morsel,3.0,516,2018-02-21,west,1548.0
448,pink morsel,3.0,545,2018-02-22,north,1635.0
449,pink morsel,3.0,544,2018-02-22,south,1632.0
450,pink morsel,3.0,556,2018-02-22,east,1668.0
451,pink morsel,3.0,588,2018-02-22,west,1764.0
